MapNo	Lon	Lat	DeltaR	DeltaRErr	Reference	Locality
540	-2.92	55.97	-80	32	Harkness, D :1983	Northeast Atlantic
541	-2.92	55.97	-173	40	Harkness, D :1983	Northeast Atlantic
542	-4.27	50.18	-204	48	Harkness, D :1983	Northeast Atlantic
543	-4.27	50.18	-170	44	Harkness, D :1983	Northeast Atlantic
544	-4.5	53.25	-147	49	Harkness, D :1983	Northeast Atlantic
545	-6.78	55.17	-91	50	Harkness, D :1983	Northeast Atlantic
546	0.62	50.33	-169	56	Harkness, D :1983	Northeast Atlantic
554	-65.75	59.22	47	40	Coulthard RD:2010	Ungava Bay
570	-77.93	64.4	87	50	Barber, D C,:1999	W. Hudson Strait
581	58.6	23.5	129	51	Southon, J, :2002	Muscat
582	45	12.5	0	57	Southon, J, :2002	Aden
583	54	12.5	49	57	Southon, J, :2002	Socotra
584	58.6	23.5	42	60	Southon, J, :2002	Muscat
585	53.3	12.5	-38	57	Southon, J, :2002	Perim
586	45	12.5	149	51	Southon, J, :2002	Aden
587	45	12.5	64	68	Southon, J, :2002	Aden
588	43	11.3	-45	57	Southon, J, :2002	Djibouti
589	65.92	24.83	60	25	von Rad, U, :1999	NE Arabian Sea
590	65.92	24.83	90	23	von Rad, U, :1999	NE Arabian Sea
591	69.1	22.15	90	44	Dutta, K, Bh:2001	Port Okha, Gujarat
592	69.02	22.13	-5	35	Dutta, K, Bh:2001	Dwarka, Gujarat
597	72.7	18.8	-4	57	Southon, J, :2002	Bombay
598	72.93	18.9	-47	50	Southon, J, :2002	Bombay
599	73.8	16.5	84	51	Southon, J, :2002	Goa
600	76	11.3	-30	64	Southon, J, :2002	Malabar
601	80	7	-67	47	Southon, J, :2002	Sri Lanka
602	80	7	26	53	Southon, J, :2002	Sri Lanka
603	80	7	45	53	Southon, J, :2002	Sri Lanka
604	80	7	-97	50	Southon, J, :2002	Sri Lanka
605	70	22.6	-169	51	Bhushan R, C:1994	Pirotan Island
606	70	22.6	-106	51	Bhushan R, C:1994	Pirotan Island
607	93	13	-135	34	Dutta, K, Bh:2001	Stewart Is., N. Andaman
608	79.22	9.17	-121	34	Dutta, K, Bh:2001	Rameswaram, Tamilnadu
609	79.22	9.17	-105	34	Dutta, K, Bh:2001	Rameswaram, Tamilnadu
610	78.7	9.2	-92	34	Dutta, K, Bh:2001	Mandapam, Tamilnadu
611	80	12.1	356	57	Southon, J, :2002	Pondicherry, India
612	94	9	-126	70	Southon, J, :2002	Nicobar Islands
613	85.3	19.5	-195	51	Dutta, K, Bh:2001	Chilika Lake, Orissa (lagoon)
614	36.12	69.12	-238	55	Forman, S L :1997	Bolshye Chevry Bay
615	53.85	81.23	-283	40	Forman, S L :1997	north of Salisbury Is.
616	49.8	79.92	-265	48	Forman, S L :1997	Northbrook Is.
617	52.42	71.5	-130	59	Forman, S L :1997	Belushia Bay
618	58	75.58	-180	58	Forman, S L :1997	Pospelov Bay
619	53.33	73.25	-150	58	Forman, S L :1997	Matiushikhm Bay
620	55	73.2	-230	50	Forman, S L :1997	Cape Uzkij
621	52.75	72.37	-213	50	Forman, S L :1997	Mal Karmakuly
622	55.33	74.17	-54	45	Forman, S L :1997	Krestovaia Bay
623	59	75.83	160	51	Forman, S L :1997	Arkhangelsk Bay
624	56	74.75	301	45	Forman, S L :1997	Mashigin Bay
625	57.67	74.08	321	50	Forman, S L :1997	Medveznji Bay
626	56	73.3	-93	55	Forman, S L :1997	Kankrin Bau
627	56	72.93	161	45	Forman, S L :1997	Brandt Bay
665	-52	69.5	-85	51	Olsson, I U,:1980	N.or W. Greenland
666	-68.77	76.55	34	52	Olsson, I U,:1980	Thule, Greenland
667	-28.73	68.35	-121	51	Olsson, I U,:1980	Kap Rink, E. Greenland
668	9.72	55.25	-105	51	Olsson, I U,:1980	Aaro Sund, Southeastern Jutland, Denmark
669	-36.88	65.65	-22	69	Olsson, I U,:1980	Skjoldungen, E. Greenland
670	-41.12	63.27	-32	51	Olsson, I U,:1980	Angmagssalik, E. Greenland
671	-28.52	68.42	-89	45	Olsson, I U,:1980	Kap Stephensen, E. Greenland
672	15	78.5	-77	70	Olsson, I U,:1980	Kapp wijk, Dickson Fjord, Spitzbergen
673	12.4	56.98	-222	45	Olsson, I U,:1980	Morup, Halland, W of Sweden
674	11.43	58.28	-281	100	Olsson, I U,:1980	Lysekil, Bohuslan, Sweden
675	18.5	63.25	-191	40	Olsson, I U,:1980	Natrafjarden, Angermanland, E. Sweden
676	20	62	-154	60	Olsson, I U,:1980	Kallskaren, Gulf of Bothnia, E. of Swede
677	26	60	-240	60	Olsson, I U,:1980	Gulf of Finland
678	6.8	61.18	-173	57	Mangerud, J,:1972	Leikanger, Sognefjord, Norway (20 - 40 m
679	28.67	70.75	-60	47	Mangerud, J :1975	Tanafjord, Finnmark, N Norway
680	23.4	70.27	-58	57	Mangerud, J,:1972	Komagfjord, Finnmark, N Norway
681	11.43	58.25	-153	45	Håkansson, :1987	Gunnarsfjarden, outside Kristineberg, W.
682	11.43	58.25	-183	45	Håkansson, :1987	Gunnarsfjarden, outside Kristineberg, W.
683	11.45	58.27	-310	56	Olsson, I U,:1980	Gullmarsfjorden, W. coast of Sweden
684	11.45	58.27	-218	56	Olsson, I U,:1980	Gullmarsfjorden, W. coast of Sweden
685	9	56.8	-88	84	Olsson, I U,:1980	Fur Sund, Limfjorden, Denmark
686	10.02	55.87	-234	98	Olsson, I U,:1980	Vorso, Horsens Fjord, Denmark
687	9	56.8	-266	73	Olsson, I U,:1980	Limfjorden, Denmark
688	8.22	56.72	55	106	Heier-Nielse:1995	Thybor�n Kanal, Limfjorden, at Sandene
689	8.2	56.62	-32	57	Heier-Nielse:1995	Thybor�n Kanal, Limfjorden (0-4 m)
690	8.23	56.62	68	59	Heier-Nielse:1995	Nissum Bredning, Limfjorden
691	8.35	56.55	-20	56	Heier-Nielse:1995	Nissum Bredning, Limfjorden
692	8.65	56.45	375	63	Heier-Nielse:1995	Struer, Limfjorden
693	8.48	56.75	282	53	Heier-Nielse:1995	Dover Odde, Limfjorden, on poles
694	8.82	56.72	21	67	Heier-Nielse:1995	Glyng�r, Limfjorden
695	8.88	56.77	162	62	Heier-Nielse:1995	Nykobing Mors, Limfjorden
696	9	56.95	-46	59	Heier-Nielse:1995	Limfjorden, Denmark
697	9.12	56.98	173	50	Heier-Nielse:1995	Limfjorden, Denmark
698	10.28	56.97	115	62	Heier-Nielse:1995	Nordmandshage, Limfjorden natural banks
699	10.22	56.53	411	58	Heier-Nielse:1995	Randers Fjord, by Holbaekgard 4 m
700	12.05	55.67	347	56	Heier-Nielse:1995	Roskilde Fjord by Roskilde
701	10.05	55.77	-44	66	Heier-Nielse:1995	Horsens Fjord at Vors� (10 m -black,stin
702	-161.42	70.4	154	50	McNeely R., :2006	Chukchi Sea, AK
703	-116	69.13	274	50	Coulthard RD:2010	Dophin & Union Str., NU
704	-156.48	71.4	314	40	McNeely R., :2006	Pt. Barrow, AK
705	-161.42	70.4	454	40	McNeely R., :2006	Chukchi Sea, AK
706	-156.48	71.4	264	40	McNeely R., :2006	Pt. Barrow, AK
707	-156.48	71.4	404	30	McNeely R., :2006	Pt. Barrow, AK
708	-114.7	68.77	224	40	Coulthard RD:2010	Dophin & Union Str., NU
709	-114.7	68.77	124	40	Coulthard RD:2010	Dophin & Union Str., NU
710	-110.13	68.02	74	30	Coulthard RD:2010	Bathurst Inlet, NU
711	-114.67	67.92	25	100	McNeely R., :2006	Coronation Gulf, NU
712	-156.48	71.4	404	60	McNeely R., :2006	Pt. Barrow, AK
713	-115.08	68.88	384	70	Coulthard RD:2010	Dophin & Union Str., NU
714	-115.08	68.88	249	25	Coulthard RD:2010	Dophin & Union Str., NU
715	-161.42	70.4	164	25	McNeely R., :2006	Chukchi Sea, AK
716	-86.25	80	207	50	Coulthard RD:2010	Slidre Fd, NU
717	-86.25	80	127	50	Coulthard RD:2010	Slidre Fd, NU
718	-86.25	80	167	50	Coulthard RD:2010	Slidre Fd, NU
719	-103.5	78.78	627	50	McNeely R., :2006	Ellef Rignes Is., NU
720	-119.42	76.2	227	40	McNeely R., :2006	Prince Patrick Is., NT
721	-85.12	73.02	167	40	Coulthard RD:2010	Arctic Bay, NU
722	-103.5	78.78	257	40	Coulthard RD:2010	Ellef Rignes Is., NU
723	-119.33	76.25	117	150	McNeely R., :2006	Prince Patrick Is., NT
724	-74.73	78.76	165	25	Coulthard RD:2010	Rice Strait, NU
725	-83.92	76.5	186	30	Coulthard RD:2010	Ellesmere Is., NU
726	-76.33	76.67	126	70	McNeely R., :2006	Ellesmere Is., NU
727	-88.52	76.78	158	60	McNeely R., :2006	Goose Fiord, NU
728	-74.73	78.76	25	50	Coulthard RD:2010	Rice Strait, NU
729	-76.33	76.67	-4	60	McNeely R., :2006	Ellesmere Is., NU
730	-81	76.21	57	80	Coulthard RD:2010	Craig Hbr, NU
731	-119.42	76.2	97	50	Coulthard RD:2010	Prince Patrick Is., NT
732	-86.25	80	397	60	Coulthard RD:2010	Slidre Fd, NU
733	-86.25	80	302	20	Coulthard RD:2010	Slidre Fd, NU
734	-86.25	80	307	20	Coulthard RD:2010	Slidre Fd, NU
735	-70.67	42.61	46	100	McNeely R., :2006	Gloucester, MA
736	-70.89	42.52	45	60	McNeely R., :2006	Salem, MA
737	-67	44.9	-20	60	McNeely R., :2006	Eastport, ME
738	-70	43.7	42	60	McNeely R., :2006	Casco Bay, ME
739	-70.67	42.61	-74	40	McNeely R., :2006	Gloucester, MA
740	-67	44.9	-210	60	McNeely R., :2006	Eastport, ME
741	-70	43.7	72	60	McNeely R., :2006	Casco Bay, ME
742	-65.12	43.7	-53	60	McNeely R., :2006	Lockeport, NS
743	-51.53	46.53	-3	50	McNeely R., :2006	south coast of NF
744	-70	43.7	22	40	McNeely R., :2006	Casco Bay, ME
745	-65.77	44.62	-76	40	McNeely R., :2006	Digby, NS
746	-64.82	45.15	-173	50	McNeely R., :2006	Harbourville, NS
747	-60.62	46.13	-43	40	McNeely R., :2006	Big Hbr, NS
748	-67	44.9	-113	60	McNeely R., :2006	Eastport, ME
749	-56	46	22	30	McNeely R., :2006	St. Pierre, NF
750	-65.62	43.4	32	40	McNeely R., :2006	Cape Sable, NS
751	-65.58	43.4	-148	30	McNeely R., :2006	Black Rock, NS
752	-61.12	43.23	-23	40	McNeely R., :2006	Banqueveau Bank, NS
753	-50.5	45.5	-113	40	McNeely R., :2006	Grand Bank, NF
754	-66	43.75	-77	60	McNeely R., :2006	Yarmouth, NS
755	-65.03	44.91	-104	130	McNeely R., :2006	Nictaux Falls, NS
756	-63	44	-173	80	McNeely R., :2006	Hour Bank, NS
757	-63	44	-123	80	McNeely R., :2006	Hour Bank, NS
758	-67.03	45.15	-124	70	McNeely R., :2006	Passamaquoddy Bay, NB
759	-63.6	44.65	-114	60	McNeely R., :2006	Halifax Hbr, NS
760	-65.63	43.5	-47	50	McNeely R., :2006	Barrington Passage, NS
761	-64.35	44.22	-47	50	McNeely R., :2006	LaHave Is., NS
762	-67	44.9	-23	50	McNeely R., :2006	Eastport, ME
763	-67.07	45.08	5	60	McNeely R., :2006	St. Andrews, NB
764	-64.17	45.25	-64	90	McNeely R., :2006	Minas Basin, NS
765	-65.63	43.5	-72	25	McNeely R., :2006	Barrington Passage, NS
766	-70.88	42.56	-68	15	McNeely R., :2006	Beverly, MA
767	-70.25	43.67	-86	15	McNeely R., :2006	Casco Bay, ME
768	-70.8	41.4	-37	60	McNeely R., :2006	Vineyard Sd., MA
769	-70.8	41.4	-39	40	McNeely R., :2006	Vineyard Sd., MA
770	-70	42	-104	40	McNeely R., :2006	Cape Cod, MA
771	-70.8	41.3	-47	40	McNeely R., :2006	Stonington, CT
772	-70.8	41.4	71	70	McNeely R., :2006	Vineyard Sd., MA
773	-70.8	41.3	93	90	McNeely R., :2006	Stonington, CT
774	-74.35	39.35	7	50	McNeely R., :2006	Atlantic City, NJ
775	-74	40.2	-24	60	McNeely R., :2006	Shark River, NJ
776	-71.4	41.6	-63	70	McNeely R., :2006	Narragansett Bay, RI
777	-70.86	41.34	-19	60	McNeely R., :2006	Gay Head, MA
778	-72.5	41.2	-104	60	McNeely R., :2006	Long Island Sd., NY
779	-71.4	41.6	-39	50	McNeely R., :2006	Narragansett Bay, RI
780	-70.54	41.9	-23	60	McNeely R., :2006	Plymouth, MA
781	-66.58	62.83	-3	40	Coulthard RD:2010	Frobisher Bay, NU
782	-65.67	66.13	77	40	Coulthard RD:2010	Pangnirtung, NU
783	-66.58	62.83	57	40	Coulthard RD:2010	Frobisher Bay, NU
784	-65	63	-73	30	Coulthard RD:2010	Cumberland Sd., NU
785	-66.8	62.66	47	40	Coulthard RD:2010	Watts Bay, NU
786	-74.87	72.45	60	40	Coulthard RD:2010	Cape Macculloch, NU
787	-65.73	66.15	-53	40	Coulthard RD:2010	Pangnirtung, NU
788	-65.73	66.15	-83	70	Coulthard RD:2010	Pangnirtung, NU
789	-77	72.8	87	20	Coulthard RD:2010	Bylot Is., NU
790	-65.48	62.73	47	20	Coulthard RD:2010	Ct. Warwick Sd., NU
791	-22.5	70.5	-194	60	McNeely R., :2006	Greenland
792	-77.93	64.4	157	50	Coulthard RD:2010	Schooner Hbr, NU
793	-81.1	69.62	177	50	Coulthard RD:2010	Fury & Hecla Str., NU
794	-86.2	66.47	87	50	Coulthard RD:2010	Repulse Bay, NU
795	-81.1	69.62	187	50	Coulthard RD:2010	Fury & Hecla Str., NU
796	-82.65	63	87	50	Coulthard RD:2010	Bencas Is., NU
797	-82	63.6	-123	50	Coulthard RD:2010	Evans Strait, NU
798	-81.72	69.34	177	40	McNeely R., :2006	Hooper Inlet, NU
799	-81.72	69.34	87	50	Coulthard RD:2010	Hooper Inlet, NU
800	-81.1	69.62	97	50	Coulthard RD:2010	Fury & Hecla Str., NU
801	-81.72	69.34	197	40	Coulthard RD:2010	Hooper Inlet, NU
802	-80.2	70.01	17	40	Coulthard RD:2010	Murray Maxwell Bay, NU
803	-81.72	69.34	127	50	Coulthard RD:2010	Hooper Inlet, NU
804	-80.88	69.4	107	50	Coulthard RD:2010	Tern Is., NU
805	-77.63	69.73	37	50	Coulthard RD:2010	Cape Jensen, NU
806	-81.74	69.38	297	40	McNeely R., :2006	Turton Bay, NU
807	-81.59	69.31	377	50	McNeely R., :2006	Hooper Inlet, NU
808	-80.28	69.57	377	50	McNeely R., :2006	Jens Munk Is., NU
809	-80.2	70.01	167	50	McNeely R., :2006	Murray Maxwell Bay, NU
810	-81.74	69.38	357	40	McNeely R., :2006	Turton Bay, NU
811	-81.74	69.38	317	50	McNeely R., :2006	Turton Bay, NU
812	-80.2	70.01	167	40	McNeely R., :2006	Murray Maxwell Bay, NU
813	-81.74	69.38	307	50	McNeely R., :2006	Turton Bay, NU
814	-81.83	62.95	-93	40	Coulthard RD:2010	Cape Pembroke, NU
815	-82.65	63	-13	40	Coulthard RD:2010	Bencas Is., NU
816	-80.2	63.68	-43	40	Coulthard RD:2010	Foxe Channel, NU
817	-82.65	63	-73	50	Coulthard RD:2010	Bencas Is., NU
818	-82	63.6	67	50	Coulthard RD:2010	Evans Strait, NU
819	-77.8	69.27	97	40	Coulthard RD:2010	Rowley Is., NU
820	-80.2	70.01	97	40	Coulthard RD:2010	Murray Maxwell Bay, NU
821	-81.33	66.92	207	40	Coulthard RD:2010	Cape Wilson, NU
822	-80.32	69.94	67	40	Coulthard RD:2010	Murray Maxwell Bay, NU
823	-81.59	69.31	117	50	Coulthard RD:2010	Hooper Inlet, NU
824	-82.68	62.98	-3	40	Coulthard RD:2010	Coats Is., NU
825	-81.72	69.34	137	40	Coulthard RD:2010	Hooper Inlet, NU
826	-77.93	64.4	87	50	McNeely R., :2006	Schooner Hbr, NU
827	-80.88	69.69	137	50	Coulthard RD:2010	South Passage, NU
828	-81.72	69.34	307	50	Coulthard RD:2010	Hooper Inlet, NU
829	-81.72	69.34	127	50	Coulthard RD:2010	Hooper Inlet, NU
830	-81.74	69.38	357	60	Coulthard RD:2010	Turton Bay, NU
831	-81.1	69.62	217	60	Coulthard RD:2010	Fury & Hecla Str., NU
832	-86.25	66.52	162	20	Coulthard RD:2010	Repulse Bay, NU
833	-81.72	69.34	277	20	Coulthard RD:2010	Hooper Inlet, NU
834	-81.74	69.38	327	20	Coulthard RD:2010	Turton Bay, NU
835	-81.72	69.34	132	20	Coulthard RD:2010	Hooper Inlet, NU
836	-57.25	51.47	-144	50	McNeely R., :2006	Bradore Bay, QC
837	-67.33	48.88	-53	50	McNeely R., :2006	Matane, QC
838	-63.75	50.22	-39	40	McNeely R., :2006	Ile Niapiskau, QC
839	-57.25	51.47	-154	80	McNeely R., :2006	Bradore Basin, QC
840	-71.18	46.87	174	50	McNeely R., :2006	Beauport, QC
841	-61.16	50.28	77	60	McNeely R., :2006	Pointe aux Outardes, QC
842	-69.55	48.23	-13	70	McNeely R., :2006	Pointe � John, QC
843	-67.58	48.84	77	60	McNeely R., :2006	Matane, QC
844	-70.18	47.32	127	50	McNeely R., :2006	Saint-Roch-des-Aulnaies., QC
845	-66.68	49.1	87	50	McNeely R., :2006	Cap Chat, QC
846	-70.2	48.25	-33	60	McNeely R., :2006	Saguenay Fd, QC
847	-57.24	51.46	-9	20	McNeely R., :2006	Bradore Bay, QC
848	-63.13	46.25	-50	50	McNeely R., :2006	Charlottetown, PEI
849	-65.37	47.08	-43	50	McNeely R., :2006	Middle Is., NB
850	-65.37	47.08	-43	50	McNeely R., :2006	Bartibog Is., NB
851	-63.87	46.6	77	50	McNeely R., :2006	Bideford R., PEI
852	-62	48.25	66	50	McNeely R., :2006	Gulf of St. Lawrence, QC
853	-65.37	47.08	-153	50	McNeely R., :2006	Middle Is., NB
854	-65.37	47.08	-133	60	McNeely R., :2006	Middle Is., NB
855	-65.37	47.08	-63	50	McNeely R., :2006	Bartibog Is., NB
856	-63.67	45.83	-214	40	McNeely R., :2006	Pugwash Basin, NS
857	-63.17	48.17	86	40	McNeely R., :2006	Banc de lOrphelin, QC
858	-64.28	48.77	268	40	McNeely R., :2006	Baie de Gasp�, QC
859	-63.3	46.47	-33	50	McNeely R., :2006	North Rustico, PEI
860	-62.83	47.5	-103	30	McNeely R., :2006	Banc Bradelle, QC
861	-65.83	48	-76	50	McNeely R., :2006	Baie des Chaleurs, QC
862	-65.83	48	-76	80	McNeely R., :2006	Baie des Chaleurs, QC
863	-65.37	47.08	-113	80	McNeely R., :2006	Middle Is., NB
864	-65.32	47.1	-53	60	McNeely R., :2006	Sheldrake Is., NB
865	-65.38	47.07	-93	60	McNeely R., :2006	Loggieville, NB
866	-63	47	-83	50	McNeely R., :2006	Gulf of St. Lawrence, PEI
867	-64.92	47.08	-63	60	McNeely R., :2006	Escumimac, NB
868	-65.37	47.08	-113	60	McNeely R., :2006	England Warf, NB
869	-64.28	48.77	263	20	McNeely R., :2006	Baie de Gasp�, QC
870	-64.97	48.18	36	15	McNeely R., :2006	Port-Daniel, QC
871	-76.6	56.5	26	40	Coulthard RD:2010	Richmond Gulf, NU
872	-78.89	56.45	-183	40	McNeely R., :2006	Belcher Is., NU
873	-94.07	58.83	-103	40	Coulthard RD:2010	Churchill, MB
874	-76.33	56.25	-24	50	Coulthard RD:2010	Richmond Gulf, NU
875	-77.75	55.28	-33	50	Coulthard RD:2010	Great Whale River, NU
876	-75.57	64.33	-3	50	Coulthard RD:2010	Hudson Strait, NU
877	-71.97	61.63	-104	50	Coulthard RD:2010	Wakeham Bay, NU
878	-69.93	60.83	27	40	McNeely R., :2006	Diana Bay, NU
879	-76.55	64.23	-153	40	Coulthard RD:2010	Cape Dorset, NU
880	-76.55	64.23	-23	40	Coulthard RD:2010	Cape Dorset, NU
881	-76.55	64.23	-63	50	Coulthard RD:2010	Cape Dorset, NU
882	-79.5	52	367	40	Coulthard RD:2010	Charlton Is., NU
883	-79	52.95	116	40	Coulthard RD:2010	Paint Hills Island, NU
884	-79.5	52	446	40	Coulthard RD:2010	Charlton Is., NU
885	-79	52.95	136	40	Coulthard RD:2010	Paint Hills Island, NU
886	-78.75	52.6	206	40	Coulthard RD:2010	Old Factory Bay, NU
887	-79.87	53.12	146	40	Coulthard RD:2010	South Twin Is., NU
888	-79.5	52	346	40	Coulthard RD:2010	Charlton Is., NU
889	-79.5	52	241	20	Coulthard RD:2010	Charlton Is., NU
890	-56.07	52	76	50	McNeely R., :2006	Temple Bay, NF
891	-61.63	56.57	-33	40	McNeely R., :2006	Nain, Lbdr
892	-56.92	53.77	12	40	McNeely R., :2006	Egg Hbr, Lbdr
893	-56.92	53.77	-48	40	McNeely R., :2006	Egg Hbr, Lbdr
894	-56.92	53.77	-98	40	McNeely R., :2006	Egg Hbr, Lbdr
895	-56.92	53.77	72	40	McNeely R., :2006	Egg Hbr, Lbdr
896	-62	58	-38	40	McNeely R., :2006	Cape Mugford, Lbdr
897	-62.63	58.2	152	40	McNeely R., :2006	Hebron, Lbdr
898	-56.43	53.8	-88	40	McNeely R., :2006	Grady Hbr, Lbdr
899	-63.73	59.28	-8	40	McNeely R., :2006	Komaktorvik Fd, Lbdr
900	-64.13	59.83	12	30	McNeely R., :2006	Eclipse Hbr, Lbdr
901	-61.58	56.58	-58	40	McNeely R., :2006	Nain, Lbdr
902	-61.68	56.53	-8	40	McNeely R., :2006	Nain, Lbdr
903	-61.58	56.58	62	40	McNeely R., :2006	Nain, Lbdr
904	-61.58	56.58	-128	40	McNeely R., :2006	Nain, Lbdr
905	-61.35	57.15	-48	40	McNeely R., :2006	Beachy Is., Lbdr
906	-61.68	56.53	-18	40	McNeely R., :2006	Nain, Lbdr
907	-57.22	54.45	-98	40	McNeely R., :2006	Indian Hbr, Lbdr
908	-55.58	51.37	-49	30	McNeely R., :2006	St. Anthony, NF
909	-56.92	53.77	-48	40	McNeely R., :2006	Egg Hbr, Lbdr
910	-62.45	58.35	-28	40	McNeely R., :2006	Fish Is., Lbdr
911	-61.35	57.15	-68	30	McNeely R., :2006	Beachy Is., Lbdr
912	-56.92	53.77	-28	40	McNeely R., :2006	Egg Hbr, Lbdr
913	-62.45	58.35	72	40	McNeely R., :2006	Fish Is., Lbdr
914	-61.68	56.53	42	40	McNeely R., :2006	Nain, Lbdr
915	-62.63	58.2	77	20	McNeely R., :2006	Hebron, Lbdr
916	-124	49.5	355	40	McNeely R., :2006	Georgia Strait, BC
917	-123.1	48.2	265	50	McNeely R., :2006	San Juans, WA
918	-123.2	48.1	256	50	McNeely R., :2006	Port Crescent, WA
919	-124.82	49.93	387	50	McNeely R., :2006	Savary Is., BC
920	-123.37	48.43	271	50	McNeely R., :2006	Victoria, BC
921	-124.17	49.49	257	50	McNeely R., :2006	Comox, BC
922	-123.95	49.2	282	50	McNeely R., :2006	Departure Bay, BC
923	-124.2	49.27	247	50	McNeely R., :2006	Nanoose Bay, BC
924	-123.7	48.92	257	50	McNeely R., :2006	Chemainus Bay, BC
925	-123.72	48.38	199	50	McNeely R., :2006	Sooke, BC
926	-123.2	49.3	255	40	McNeely R., :2006	Burrard Inlet, BC
927	-122.5	48	233	40	McNeely R., :2006	Puget Sound, WA
928	-123.7	48.92	197	70	McNeely R., :2006	Chemainus Bay, BC
929	-123.37	48.43	236	20	McNeely R., :2006	Victoria, BC
930	-123.72	48.38	289	20	McNeely R., :2006	Sooke, BC
931	-135.5	57	248	60	McNeely R., :2006	Sitka Sound, AK
932	-146.33	59.43	217	50	McNeely R., :2006	Middleton Is., AK
933	-154	57.7	177	50	McNeely R., :2006	Kodiak Is., AK
934	-136.35	58.76	301	60	McNeely R., :2006	Glacier Bay, AK
935	-134.1	57.1	511	60	McNeely R., :2006	Admiralty Is., AK
936	-132.85	57.3	441	50	McNeely R., :2006	Thomas Bay, AK
937	-134.1	57.1	381	70	McNeely R., :2006	Admiralty Is., AK
938	-132.42	53.3	76	50	McNeely R., :2006	Graham Is., BC
939	-135	57.5	366	50	McNeely R., :2006	Chatham, AK
940	-135	57.5	306	50	McNeely R., :2006	Chatham, AK
941	-132.42	53.3	176	50	McNeely R., :2006	Graham Is., BC
942	-132.85	57.3	311	60	McNeely R., :2006	Thomas Bay, AK
943	-132.85	57.3	371	60	McNeely R., :2006	Thomas Bay, AK
944	-125.87	49.13	347	50	McNeely R., :2006	Tofino, BC
945	-166.67	65.25	194	50	McNeely R., :2006	Port Clarence, AK
946	-125.54	48.92	202	50	McNeely R., :2006	Amphitrite Point, BC
947	-125.55	48.93	242	50	McNeely R., :2006	Ucluelet Hbr., BC
948	-125.4094	48.9511	62	50	McNeely R., :2006	Forbes Is., BC
949	-125.9091	49.1381	152	50	McNeely R., :2006	David Channel, BC
950	-132	53.23	73	50	McNeely R., :2006	Skidegate, BC
951	-132	53.23	43	40	McNeely R., :2006	Skidegate, BC
952	-132.1	54.02	247	50	McNeely R., :2006	Masset, BC
953	-125.73	49.05	217	40	McNeely R., :2006	Wickaninnish Bay, BC
954	-166.37	65.27	424	40	McNeely R., :2006	Teller, AK
955	-125.55	48.93	292	50	McNeely R., :2006	Ucluelet, BC
956	-125.5	48.94	167	25	McNeely R., :2006	Forbes Is., BC
957	-125.55	48.93	117	20	McNeely R., :2006	Ucluelet, BC
958	-145.7	60.57	289	20	McNeely R., :2006	Orca, AK
959	-166.67	65.25	369	20	McNeely R., :2006	Port Clarence, AK
960	-166.37	65.27	294	20	McNeely R., :2006	Teller, AK
961	-64.83	60.41	27	50	Coulthard RD:2010	Port Burwell, NU
962	-65.75	59.17	-63	50	Coulthard RD:2010	Keglo Bay, NU
963	-65.25	59.48	47	50	Coulthard RD:2010	Adlorilik, NU
964	-64.65	60.63	-83	40	Coulthard RD:2010	Button Is., NU
965	-69.43	60.07	-153	40	Coulthard RD:2010	Ungava Bay, NU
966	-65.75	59.17	-123	80	Coulthard RD:2010	Keglo Bay, NU
967	-65.75	59.17	47	40	Coulthard RD:2010	Keglo Bay, NU
968	-67.85	58.62	57	50	Coulthard RD:2010	False River, NU
969	-64.78	60.37	137	60	Coulthard RD:2010	Forbes Sound, NU
970	-64.87	60.4	-33	60	Coulthard RD:2010	Forbes Sound, NU
971	-64.97	60.35	-3	50	Coulthard RD:2010	Cap William-Smith, NU
972	-64.97	60.4	-83	50	Coulthard RD:2010	Jackson Is., NU
973	-68.98	58.91	77	70	Coulthard RD:2010	Leaf Bay, NU
974	-64.83	60.42	-51	60	McNeely R., :2006	Port Burwell, NU
975	-65.75	59.17	67	50	Coulthard RD:2010	Keglo Bay, NU
976	-64.97	60.35	-8	20	Coulthard RD:2010	Cap William-Smith, NU
977	-64.83	60.42	139	20	Coulthard RD:2010	Port Burwell, NU
978	-65.25	59.48	-18	20	Coulthard RD:2010	Adlorilik, NU
979	-67.5	59.5	-68	25	Coulthard RD:2010	Ungava Bay, NU
980	-64.83	60.42	109	20	McNeely R., :2006	Port Burwell, NU
981	-64.83	60.42	154	20	McNeely R., :2006	Port Burwell, NU
982	-69.02	58.92	-38	20	Coulthard RD:2010	Leaf Bay, NU
983	-68.3	58.83	-13	20	Coulthard RD:2010	Ungava Bay, NU
984	-64.65	60.63	-43	20	Coulthard RD:2010	Button Is., NU
985	-65.34	59.49	-83	20	Coulthard RD:2010	Adlorilik, NU
986	-54.48	71.35	56	50	McNeely R., :2006	Nuussuaq, Greenland
987	-52	69	116	40	McNeely R., :2006	Disko, Greenland
988	-68.92	76.56	-153	60	McNeely R., :2006	Umanaq, Greenland
989	-54.48	71.35	-24	20	McNeely R., :2006	Nuussuaq, Greenland
990	-52	69	-4	25	McNeely R., :2006	Disko, Greenland
991	144.7	13.4	-14	50	Athens, J. S:1986	Guam
992	-5.75	54.7	-238	35	Blake, CB. 2:2005	Belfast Lough
993	-5.8	54.68	-205	35	Blake, CB. 2:2005	Belfast Lough
